steps,scenario,sr,cs,cd_mean,cd_std,speed,safety_score
50000,Town02,0.0,4.8304187274940205,1.9637119128351432,0.69554355052729,3.945418879380181,0.0
170000,Town02,1.0,0.0,0.0846480816304292,0.10368254314796169,24.094150688621447,96.23
300000,Town02,1.0,0.0,0.06818934158333215,0.07941727312088012,22.425620924254407,97.05
230000,Town02,1.0,0.0,0.08710947552559156,0.08306901013750137,23.25716367859281,96.6
850000,Town02,1.0,0.0,0.06029272476048823,0.055813182709362405,23.007836888461185,97.68
430000,Town02,1.0,0.0,0.06695635064723915,0.06808811724854039,22.798950676014687,97.3
440000,Town02,1.0,0.0,0.05423474770874642,0.06299856423252068,22.611884409051488,97.66
480000,Town02,1.0,0.0,0.07201872708718093,0.08005855106035209,22.60993192601486,96.96
810000,Town02,1.0,0.0,0.06027741758151549,0.06879384620791763,24.140966419367953,97.42
630000,Town02,1.0,0.0,0.0693335590934711,0.0678983104480048,22.72545609848717,97.26
880000,Town02,1.0,0.0,0.0638474754173367,0.06621347430217232,24.37838784343907,97.4
910000,Town02,0.9,2.938792894262306,0.06816552063878083,0.06027686991022176,22.601533234417804,37.43
800000,Town02,1.0,0.0,0.06488119373179199,0.060074549780953876,24.001184404720277,97.5
130000,Town02,1.0,0.0,0.08565986599706947,0.10379674953648814,13.079289194573047,96.21
100000,Town02,0.9,0.05602547142827315,0.12090495269138313,0.14204519599803334,8.998986904890675,34.74
500000,Town02,1.0,0.0,0.0786650210618803,0.0860015043645445,23.523249903130385,96.71
950000,Town02,0.1,0.017361890481573723,0.060060498742306935,0.04675706937923237,14.851166107018065,0.0
860000,Town02,0.9,2.797706215083703,0.054008076140168795,0.04995111016490902,24.147826338719263,37.92
190000,Town02,0.1,12.373943993136226,0.08058195310736262,0.0724061418370336,23.559887576268267,0.0
550000,Town02,1.0,0.0,0.05901447488262866,0.07504330514618371,22.78452520173935,97.32
840000,Town02,1.0,0.0,0.0572112548030243,0.05103473175866909,24.409250146091075,97.84
160000,Town02,1.0,0.0,0.08531714044280994,0.09278871187825398,23.496671730817706,96.44
370000,Town02,1.0,0.0,0.05741785506987892,0.06591340224681719,23.31344193879089,97.53
640000,Town02,1.0,0.0,0.06378632567426087,0.05771153561099127,23.264248776606088,97.57
540000,Town02,1.0,0.0,0.0628526915456065,0.08273675452399346,22.94622461027,97.09
140000,Town02,1.0,0.0,0.1114367988802962,0.10836662392468888,21.876095408866945,95.6
790000,Town02,0.1,13.577762777542173,0.05723105153714272,0.04328854121587031,23.893723572215855,0.0
620000,Town02,1.0,0.0,0.05042025271276279,0.058312868882811286,23.236258094258663,97.83
280000,Town02,1.0,0.0,0.06337187472044073,0.0873891966267459,23.00587899979959,96.98
240000,Town02,0.9,2.580084512047571,0.06897492930978058,0.07022731989830058,23.473205796175925,37.22
560000,Town02,0.9,2.8864397805810116,0.05932650421803702,0.06344373818243991,22.82959185832445,37.54
270000,Town02,1.0,0.0,0.0653603465401997,0.08725345085178599,23.248820015450377,96.95
120000,Town02,1.0,0.0,0.18052601644452718,0.13504028165624934,21.04011712730383,93.69
320000,Town02,1.0,0.0,0.050845273450700015,0.07344768831124608,23.26304682762812,97.51
340000,Town02,1.0,0.0,0.0700100581812734,0.07223809911488281,23.55315742327939,97.16
290000,Town02,1.0,0.0,0.05118366431271122,0.07632670019648649,22.84355078208042,97.45
750000,Town02,1.0,0.0,0.05880306231053535,0.05908560023996308,23.192693828923943,97.64
410000,Town02,1.0,0.0,0.06629011305568519,0.06171575068343421,23.327526981057822,97.44
250000,Town02,1.0,0.0,0.08745658935007072,0.08398932005919621,22.794680968484535,96.57
60000,Town02,1.0,0.0,0.39632475628248154,0.5420990797660306,13.97367022162803,81.23
400000,Town02,1.0,0.0,0.049396695657957436,0.056063705454666636,23.498469955156185,97.89
690000,Town02,1.0,0.0,0.0626169700269887,0.05549220144430615,23.37578149051572,97.64
310000,Town02,1.0,0.0,0.06449558266299868,0.07983519789125271,23.309316359165724,97.11
390000,Town02,1.0,0.0,0.05382654385882267,0.0535762164456275,23.19174666999917,97.85
260000,Town02,1.0,0.0,0.06872769922352692,0.07634586696844965,22.74157183463646,97.1
960000,Town02,1.0,0.0,0.051992160695835045,0.0575543968699232,24.716846470050562,97.81
210000,Town02,0.9,2.6196245718964137,0.06755531968205271,0.07285560516535688,22.9256349309184,37.19
330000,Town02,1.0,0.0,0.06087244405086213,0.08101909265133193,23.984679389521155,97.16
90000,Town02,0.9,0.00440058672183539,0.13307818113583428,0.180222071656113,8.207575140227117,33.73
820000,Town02,1.0,0.0,0.07631407359509298,0.08077191604707659,23.49882322387512,96.86
